fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q8GYA4,Q9LJX8,0.977507668979974,Very Strong,False,Q8GYA4 - Q9LJX8,221
Q8GYA4,Q9LPU8,0.990531425187639,Very Strong,False,Q8GYA4 - Q9LPU8,222
Q8GYA4,Q9SAH7,0.977934597899426,Very Strong,False,Q8GYA4 - Q9SAH7,223
Q8GYA4,O49650,0.995120419383807,Very Strong,False,O49650 - Q8GYA4,224
Q8GYA4,O64757,0.981036036946777,Very Strong,False,O64757 - Q8GYA4,225
Q8GYA4,O81005,0.956560768962658,Very Strong,False,O81005 - Q8GYA4,226
Q8H124,Q9SNB5,0.97181364485176,Very Strong,False,Q8H124 - Q9SNB5,227
Q8H124,AT2G08665,0.964105549746715,Very Strong,False,AT2G08665 - Q8H124,228
Q8H124,A0A178VRB0,0.985951807962673,Very Strong,False,A0A178VRB0 - Q8H124,229
P25071,O49650,0.977365131705934,Very Strong,False,O49650 - P25071,23
Q8H124,O04090,0.970809106318476,Very Strong,False,O04090 - Q8H124,230
Q8L7S1,Q9M2G1,0.953287188147832,Very Strong,False,Q8L7S1 - Q9M2G1,231
Q8L9J7,Q8H124,0.983318186304433,Very Strong,False,Q8H124 - Q8L9J7,232
Q8L9J7,Q9C5R8,0.968583795492026,Very Strong,False,Q8L9J7 - Q9C5R8,233
Q8L9J7,Q9MA15,0.98260995766948,Very Strong,False,Q8L9J7 - Q9MA15,234
Q8L9J7,Q9SD79,0.97963201281454,Very Strong,False,Q8L9J7 - Q9SD79,235
Q8L9J7,Q9SNB5,0.970405546058009,Very Strong,False,Q8L9J7 - Q9SNB5,236
Q8L9J7,AT2G08665,0.951170324999917,Very Strong,False,AT2G08665 - Q8L9J7,237
Q8L9J7,A0A178VRB0,0.975001875932399,Very Strong,False,A0A178VRB0 - Q8L9J7,238
Q8LDS3,Q39070,0.971358425600147,Very Strong,False,Q39070 - Q8LDS3,239
P25071,O64757,0.967133960076197,Very Strong,False,O64757 - P25071,24
Q8LDS3,O81804,0.963975444147197,Very Strong,False,O81804 - Q8LDS3,240
Q8LEV3,Q9STX1,0.954933834157676,Very Strong,False,Q8LEV3 - Q9STX1,241
Q8LF65,Q8RUI1,0.966091514499385,Very Strong,False,Q8LF65 - Q8RUI1,242
