ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
ENSRNA049493349,0.363636363636364,0.0106346797308552,True,-1.4594316186373,0.035148352572089,1,1,2,0,3,3,2,3
AT5G43830,0.626795777442654,0.00847039164635111,True,-0.673932634098985,0.0286177456451318,2235,1809,1848,2005,3307,3885,2851,2556
Q8GXV7,2.09090909090909,0.0027136820350937,True,1.06413033741972,0.00984447814986292,20,20,23,29,14,11,8,11
Q9FKU8,0.327759197324415,3.54539535329934E-06,True,-1.6092918300829,1.38477354759168E-05,17,29,27,25,71,78,73,77
A8MS31,3.64285714285714,0.00232404427043864,True,1.86507041991389,0.00849892248839457,38,37,28,50,3,14,17,8
AT5G44590,0.0526315789473684,0.00745626208162897,True,-4.24792751344359,0.0254499353895967,0,0,1,0,6,7,2,4
AT5G44920,0.554509235784136,0.00572240663356682,True,-0.850716605088282,0.0198865093903303,416,340,368,407,621,894,571,675
Q9FHE8,0.196491228070175,0.00252673002390158,True,-2.3474631869945,0.00919694295962137,26,19,32,35,116,206,104,144
Q8GZ89,2.48484848484848,0.0122286013337567,True,1.31315788525963,0.0399367399577897,27,17,14,24,13,8,5,7
AT5G45110,1.68693693693694,0.00569956103609548,True,0.754406042108645,0.0198211896283702,378,387,281,452,196,234,230,228
AT5G45200,0.398058252427184,0.00189581075929568,True,-1.32894852256513,0.00698658365440342,115,99,99,97,268,334,199,229
Q9XGM3,0.640860215053763,0.00328801883831309,True,-0.641918385533232,0.0118309285274399,231,223,198,242,289,404,371,331
AT5G45310,0.0737704918032787,0.000337159496692552,True,-3.76081233612057,0.00129489504267237,1,1,5,2,22,39,27,34
F4KEM1,0.539823008849557,0.000927516848581611,True,-0.889441624852302,0.00349599364863621,35,32,27,28,59,66,53,48
AT5G45810,2.0974358974359,0.0122635051546902,True,1.06862671919214,0.0400354658037157,99,128,61,121,48,46,52,49
AT5G45940,2.12972972972973,0.00306357591900985,True,1.09067035894006,0.011048867172328,285,256,255,386,125,171,131,128
AT5G46050,0.461121157323689,0.0148238376675851,True,-1.11678223337585,0.0475111624103649,83,82,37,53,171,170,114,98
Q9FL35,0.437641723356009,0.00631163974051074,True,-1.19217780828944,0.0217883527243707,55,43,41,54,76,147,104,114
Q9FL26,0.256756756756757,0.00340913547520372,True,-1.96152585218536,0.0122371712573525,2,3,8,6,15,18,15,26
AT5G06845,1.5981308411215,0.0153918179969881,True,0.676385528484751,0.0491293523581894,46,52,37,36,32,24,31,20
AT5G46710,0.661417322834646,0.00248325724305576,True,-0.596367263993406,0.0090502456825419,37,45,42,44,62,75,59,58
Q9FIQ3,1.77777777777778,0.00638285973603669,True,0.830074998557688,0.0220208982253639,22,15,20,23,13,11,13,8
