fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q41975,A0A1P8BFF1,1,,False,,1339
Q9C748,Q41975,1,,False,,134
Q41975,Q9LZX2,1,,False,,1340
Q41975,Q9LZW0,1,,False,,1341
Q41975,A0A1P8BF18,1,,False,,1342
Q41975,Q93WK5,1,,False,,1343
Q41975,A0A178URA3,1,,False,,1344
Q41975,Q9LZS0,1,,False,,1345
Q41975,F4KI56,1,,False,,1346
Q41975,Q9FF79,1,,False,,1347
Q41975,O82132,1,,False,,1348
Q41975,Q9LHS8,1,,False,,1349
Q9C749,Q03250,1,,False,,135
Q41975,A0A178UA82,1,,False,,1350
Q41975,Q9FL48,1,,False,,1351
Q41975,Q8GZ53,1,,False,,1352
Q41975,A0A178U9K3,1,,False,,1353
Q41975,Q9SD85,1,,False,,1354
Q41975,Q8L7B4,1,,False,,1355
Q41975,Q9FNP0,1,,False,,1356
Q41975,Q9FIB2,1,,False,,1357
Q41975,Q8LD63,1,,False,,1358
Q41975,F4KFG5,1,,False,,1359
A0A178W2S0,Q03250,1,,False,,136
Q41975,Q9LX16,1,,False,,1360
Q41975,Q94FL9,1,,False,,1361
Q41975,P29830,1,,False,,1362
Q41975,O81822,1,,False,,1363
Q41975,Q84WM9,1,,False,,1364
Q41975,Q9LY94,1,,False,,1365
Q41975,A0A178U7B6,1,,False,,1366
Q41975,A0A1P8BB23,1,,False,,1367
Q41975,Q9LXF3,1,,False,,1368
Q41975,Q9LXE7,1,,False,,1369
P0C034,Q03250,1,,False,,137
Q41975,P18612,1,,False,,1370
Q41975,F4KGY6,1,,False,,1371
Q41975,Q9FJG5,1,,False,,1372
Q41975,Q9FK42,1,,False,,1373
Q41975,Q3E9D5,1,,False,,1374
Q41975,O23115,1,,False,,1375
Q41975,Q5XV37,1,,False,,1376
Q41975,A0A384L1G6,1,,False,,1377
Q41975,AT5G03375,1,,False,,1378
Q41975,Q9FMQ5,1,,False,,1379
A0A1P8ATQ1,Q41975,1,,False,,138
Q41975,Q39152,1,,False,,1380
Q41975,Q9FFC2,1,,False,,1381
Q41975,F4KEA4,1,,False,,1382
Q41975,B3H6V9,1,,False,,1383
Q41975,A0A178U9Q7,1,,False,,1384
Q41975,Q6LA42,1,,False,,1385
Q41975,Q6NKZ8,1,,False,,1386
Q41975,Q8W1D5,1,,False,,1387
Q41975,AT5G03965,1,,False,,1388
Q41975,Q8GY54,1,,False,,1389
Q9XIB6,Q41975,1,,False,,139
Q41975,AT5G04665,1,,False,,1390
Q41975,Q6IDP7,1,,False,,1391
Q41975,F4K8L9,1,,False,,1392
Q41975,Q8W036,1,,False,,1393
Q41975,Q9FKN2,1,,False,,1394
Q41975,AT5G05785,1,,False,,1395
Q41975,Q9FID8,1,,False,,1396
Q41975,Q9FID6,1,,False,,1397
Q41975,Q9FIC8,1,,False,,1398
Q41975,Q9FLY6,1,,False,,1399
P0DI10_1,Q03250,1,,False,,14
Q9M7Q5,Q41975,1,,False,,140
Q41975,Q9FLE2,1,,False,,1400
Q41975,Q9FLM1,1,,False,,1401
Q41975,Q9FN69,1,,False,,1402
Q41975,A0MFL4,1,,False,,1403
Q41975,A0A1P8BEK1,1,,False,,1404
Q41975,Q9FHY0,1,,False,,1405
Q41975,F4K1I5,1,,False,,1406
Q41975,Q9FJV8,1,,False,,1407
Q41975,Q96242,1,,False,,1408
Q41975,A0A1P8BDN2,1,,False,,1409
F4I3E1,A0A178VRB0,1,,False,,141
Q41975,Q3E7L7,1,,False,,1410
Q41975,Q9FIY7,1,,False,,1411
Q41975,Q9FIY6,1,,False,,1412
Q41975,Q9XF19,1,,False,,1413
Q41975,Q9FI25,1,,False,,1414
Q41975,A8MS31,1,,False,,1415
Q41975,Q8GWN6,1,,False,,1416
Q41975,Q8GZ89,1,,False,,1417
Q41975,Q9FK78,1,,False,,1418
Q41975,Q9FJ55,1,,False,,1419
Q9LPM2,Q41975,1,,False,,142
Q41975,Q8LET2,1,,False,,1420
Q41975,Q6DBD7,1,,False,,1421
Q41975,AT5G06885,1,,False,,1422
Q41975,Q9FGL2,1,,False,,1423
Q41975,Q8L7D5,1,,False,,1424
Q41975,Q9LV60,1,,False,,1425
Q41975,Q9FJL3,1,,False,,1426
Q41975,Q9FH21,1,,False,,1427
Q41975,Q00917,1,,False,,1428
Q41975,Q9FJ06,1,,False,,1429
A0A384LK78,Q41975,1,,False,,143
Q41975,Q5MAU8,1,,False,,1430
