	class	0.1_0	0.2_0	0.07_0	0.5_0	0.7_0	1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13156	+	0.000	0.000	0.000	0.044	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	0.270
PF08020	+	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1706)	0.234
PF14355	+	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Abortive infection C-terminus	0.232
PF01865	+	0.000	0.000	0.000	0.033	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF47	0.232
PF00909	+	0.026	0.188	0.000	0.312	0.363	0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ammonium Transporter Family	0.220
PF04266	+	0.098	0.143	0.056	0.122	0.192	0.096	0.053	0.000	0.000	0.000	0.000	0.000	0.000	ASCH domain	0.220
PF06202	+	0.000	0.006	0.000	0.140	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amylo-alpha-1,6-glucosidase	0.218
PF07905	+	0.000	0.000	0.007	0.049	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Purine catabolism regulatory protein-like family	0.215
PF02229	+	0.180	0.246	0.051	0.198	0.140	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transcriptional Coactivator p15 (PC4)	0.208
PF07971	+	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 92	0.208
PF01590	+	0.013	0.059	0.000	0.129	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	0.207
PF05598	+	0.005	0.016	0.000	0.001	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase domain (DUF772)	0.205
